SL,sentence,sentiment
,আমি এটা ভালবাসি,positive
,নিঃসন্দেহে মুরগির রেসিপির জন্য শহরের সেরা জায়গা এটি।,positive
,Gorgonzola Shrimp পিজাটা সেরা।! এটার জন্য আবার আসব :),positive
,করররররররা।,positive
,কোরিয়ান charboiled থাইস ... এই পৃথিবীতে শ্রেষ্ঠ জিনিস।,positive
,তাদের সেবা পছন্দনীয় ... এটা মহান ছিল !! ভাল অভিজ্ঞতা ছিল ... শীঘ্রই  আবার পরিদর্শন করা হবে .. :) :),positive
,এই জায়গাটি ভালোবাসা অনেক সুন্দর পরিবেশ ,positive
,এটা ভাল ছিল ... কিন্তু আমার জন্য খুব মসলাযুক্ত,positive
,"আশ্চর্যজনক পরিবেশ, পছন্দনীয় ধূমপান অঞ্চল ।এছাড়াও  খাবারটাও সময়মত পরিবেশন করা  হয়েছিল।",positive
,"খাদ্য ,প্লেস এবং রেস্টুরেন্টের পরিবেশ সবই ভাল।",positive
,"আমি দুই বার পরিদর্শন করেছি এই জায়গা। তাদের সেবা, সজ্জা, খাবার সবই পছন্দনীয়।  দাম একটু বেশী। ",positive
,খাদ্যের মান এবং স্বাদ অনুযায়ী অফারটা ভাল ছিল।,positive
,"উইংসের উপর BOGO অফারটা  ভাল ছিল। আমাদেরটাতে তিনটি স্বাদ ছিল, যার সবই ভাল ছিল! এটা ধরে রাখেন. :)",positive
,খুব ভাল ইন্টেরিওর ডিজাইন। তাদের কর্মী এবং সেবা দুইটাই ভাল। খাদ্যে বিভিন্ন ধরনের  স্বাদ আছে:  জামাইকান BBQ সত্যিই সুস্বাদু যদিও  মূল BBQ ঠিক আছে। মাশরুমের ক্রিম গোলাকার আকৃতির একটি রুটিতে পরিবেশন করা হয়; খুব সুস্বাদু এবং বিভিন্ন রকমের আছে। অন্যান্য সব খাবার ভাল সুশোভিত এবং স্বাদেও ভাল। দাম উচ্চ। রেস্টুরেন্টের সামনের দিকটা একটি গ্যারেজ মত দেখায়।,positive
,এককথায় ভাল খাবার দিয়ে সত্যিই ভাল দিন ছিল ...,positive
,খাবার খুব সুন্দর। তাদের ভিড়ের সময় সার্ভিসে  আরো মনোযোগ দিতে হবে: 1. অতিথিরা যখন আসে তাদের গ্লাস পরিবেশন করা। পানির গ্লাসের জন্য আমাকে অনেকবার ওয়েটারকে ডাকতে হয়েছিল। ডাকার পর তারা তাদের কাজ করেছেন। 2. গ্রীন স্যালাতের মান মূল্যের ভিত্তিতে কিছুটা বাড়াতে পারে .... 3. একটি জন্মদিনের উদযাপনের জন্য যেহেতু আগেই বুক করা হয় তাই তাদের আগে থেকেই ছোট ছোট কেক সাজানো উচিত ছিল। সব ভাল তার সব। উপরের পয়েন্ট শুধুমাত্র কিছু ব্যক্তিগত মন্তব্য।,positive
,BBQ পিজাটা বেশি স্বাদযুক্ত কিন্তু পরিবেশন করতে খুব বেশি দেরি হয়ে গেছে তাদের সার্ভিসের গুণমান উন্নত করতে হবে,positive
,"এই শহরে সেরা BBQ,গ্রিলস ... তাদের তাদের সেহরি / ইফতারের খাবার পছন্দনীয় ... তাদের খাবার তাজা মনে হচ্ছে ... যদিও আমি তাদের ময়লা পাত্রোতে কিছুটা উন্নতি দেখতে চাই। ... এটি স্বাদযুক্ত পাত্রোয়ের তুলনায় পোড়ামাটির মতো স্বাদ, যা একটু পুরু এবং ঘন হওয়া উচিত ... । আমি তাদের জামাইকান এবং কোরিয়ান BBQ খাবার ভালবাসি",positive
,আমি অনেকবার সেখানে গিয়েছিলাম .. সর্বদাই তাদের সার্ভিসে আমি সন্তুষ্ট .. শিশুদের জন্য একটি ছোট জায়গা আছে .. এটি ছোট্ট সন্তানের জন্য খুবই সহায়ক।,positive
,খাদ্য ভাল ছিল। একটি অসাধারণ অভিজ্ঞতা :) ,positive
,জামাইকান চিকেনের জন্য আমি সব সময় সেখানে যাব :) #ভাল,positive
,"আমি কখনো বাংলাদেশের বাইরে এই ফ্র্যাঞ্চাইজিতে যাইনি। খাবার ভাল। আমি কয়েকবার গিয়েছিলাম এবং সাধারণত জামাইকিন গ্রিল চিকেন অর্ডার করি এবং শুরু করি মাশরুমের স্যুপ দিয়ে। পরিবেশ,ডেকোরেশন এবং শিশুদের খেলার জায়গা সবি ঠিক ছিল এবং ধূমপায়ীদের জন্য সুন্দর ব্যালকনি ছিল।  ",positive
,পেন মাশরুম স্যুপ এবং কোরিয়ান চর্বিযুক্ত মুরগি  নিয়েছলাম এবং এটা আমার জন্য একটি নতুন অভিজ্ঞতা ছিল ......... একজন ফুডি হিসাবে আমি আবার সেখানে যাওয়ার জন্য অপেক্ষায় থাকলাম।,positive
,"যা কিছু আমরা  নিয়েছিলাম সবকিছুর স্বাদ ভাল ছিল ,দাম একটু একটু উচ্চ।",positive
,"সুপার সুস্বাদু মুরগী এবং মাশরুম ক্রিম স্যুপের কারণে এটি আসলে ঢাকায় আমার প্রিয় রেস্টুরেন্টগুলির মধ্যে একটি। কিন্তু আমি যদি ভ্যালেন্টাইন প্লেটের কথা উল্লেখ করি তবে বিশেষত এটি আহামরি  ছিল না! আর চালট কিন্তু দুইজনের জন্য দেওয়া আসলেই যথেষ্ট নয়। তারপর এই অদ্ভুত আকৃতির স্যান্ডউইচ! কিন্তু হ্যাঁ, যদি আপনি মুরগি এবং অন্যান্য মুরগির প্লেটের তুলনায় মূল্যের কথা বলেন তবে এটি ভাল ছিল!",positive
, ভাল মানের খাবার এবং ভাল জায়গা ... আমরা আবার যাব।,positive
,সেট মেনুটা ভাল ছিল। কিন্তু ড্রিঙ্কসটা ভয়ঙ্কর ছিল।,positive
,সেখানে একটি মহান অভিজ্ঞতা ছিল। শীঘ্রই আবার দেখা হবে :),positive
,"অত্যন্ত সুস্বাদু খাবার, পরিষ্কার এবং শালীন। আমি এই জায়গাটি ভালবাসা।",positive
,"আমি সত্যিই তাদের খাবার বিশেষ করে জামাইকান চিকেন, korean charboiled chicken এবং পেন মাশরুম স্যুপ পছন্দ করি। আমি সপ্তাহে অন্তত একবার সেখানে যাই। আমি সম্প্রতি ধনমন্ডি শাখায় গিয়েছিলাম এবং এটি গুলশান ২ শাখার তুলনায় অনেক বাজে ছিল। স্যুপে যথেষ্ট মরিচ ছিল না, গানের সাউন্ড বেশ উঁচু ছিল ইত্যাদি। আমি গুলশান শাখা অনেক পছন্দ করি এবং আমার মনে হয় এখানের শেফরাই আসল শেফ যাদের তৈরী করা খাবার আমাকে BBQ এর প্রেম এ পড়ে গিয়েছি!",positive
,"বাংলাদেশের খাবার একটা ভালোবাসা। ভাল অংশ, অসাধারণ স্বাদ। খাবারে সন্তুষ্ট!",positive
,"ভাল খাদ্য, বন্ধুত্বপূর্ণ সার্ভিস - আর কি আশা করা যায়!",positive
,"ভাল খাদ্য ও সেবা .. পাশাপাশি কর্মীরাও ভদ্র ছিল ... আরো আসতে পারলে ভাল লাগবে...
",positive
,"গ্রেট সার্ভিস, খুবই ভাল খাবার এবং পরিবেশ কিন্তু একটু দামী।",positive
,আপনার সাথে দেখা করাটা সত্যিই দুর্দান্ত ছিল এবং আমি সত্যিই মুগ্ধ হলাম !! অসাধারণ টেস্ট এবং মানসম্মত খাবার। নম্র ব্যবহার এবংসবকিছু মিলিয়ে জোস পরিবেশ। এই খাবারের মান এবং সার্ভিস বজায় রাখুন।,positive
,"খাবারের মান ভাল ছিল, স্বাদও খুব ভাল এবং অন্যরকম ছিল।",positive
,মুরগিটা ভাল ছিলনা কিন্তু সার্ভিসটা প্রত্যেক পর্যায়েই ভাল ছিল।,positive
,কোরিয়ান charboiled চিকেনটাই তাদের পরিবেশন করা সবচেয়ে ভাল খাবার। মাশরুম স্যুপটাও ভাল। অন্যান্য অধিকাংশ খাবার লবণ দিয়ে পূর্ণ। সেবা এবং পরিবেশও চমৎকার।,positive
,ভাল খাবার! ওয়েটাররা খুব ভাল আচরণ করেছে!,positive
,"গ্রেট খাবার, কিন্তু বসার ব্যবস্থা ঠিক ছিলনা।",positive
,খাবার ভাল এবং  একটু বেশি টাকা দিতে ও প্রস্তুত।,positive
,"কোরিয়ান charboiled চিকেনটা সত্যিই ভাল ছিল, আমি এটা সবাইকে সুপারিশ করব।",positive
,"ভাল পরিবেশের সাথে ভাল মানের খাবার, আবার দেখা হবে, ধন্যবাদ।",positive
,দারুন খাবার. সেবা আরো ভাল হতে পারত। ব্যাকগ্রাউন্ডে বাজানোর জন্য ল্যাটিন মিউজিকটা আরো উপযুক্ত হওয়া দরকার ছিল  ।,positive
,ভাল পদক্ষেপ,positive
,এই জায়গার ইতালিয়ান খাবারটা ভাল।,positive
,খাবারটা ভাল কিন্তু যদিও একটি ব্যয়বহুল ছিল ...,positive
,ভাল খাবার এবং সুন্দর পরিবেশ ... :),positive
,আমার টেস্ট করার মধ্যে অনেক ভাল চিকেন প্লেটার। Yummm! সেবাটা  আর একটু ভাল হতে পারত। সর্বোপরি বন্ধু বা পরিবারকে সঙ্গে নিয়ে hangout করার মত সুন্দর জায়গা :),positive
," সহকর্মীদের সঙ্গে সেখানে গিয়েছিলাম। খাদ্য অস্থির ছিল, এবং আপনাদের  আতিথেয়তা আশ্চর্যজনক ছিল।",positive
,ভাল খাবার......।,positive
,ভাল  এবং সাস্থ্যকর খাবার.........,positive
,তাদের খাবার খুব ভাল ছিল ... কিন্তু তারা সেই সুস্বাদু খাবার পরিবেশন করার জন্য অনেক সময় নেয় .... সামগ্রিকভাবে এটি Hangout এর জন্য একটি ভাল জায়গা ..,positive
,"গ্রেট খাবার, ভাল জায়গা, ভাল মূল্য এবং কর্মচারীরাও ভালো :)",positive
,যতক্ষণ আপনি সঠিক জিনিস অর্ডার করবেন ততক্ষ্ণ ভাল খাবার পাবেন।,positive
,কোরিয়ান চিকেন একটি ভালবাসা...!!!!,positive
,তাদের শ্রিম্প গর্গোজোলা পিজা এবং চিকেন ক্রিম পাস্তাটা ট্রাই করেছিলাম। পারফেক্ট। ,positive
,"চমত্কার খাদ্য। ম্যানেজারের কাছ থেকেও গ্রেট সার্ভিস পেয়েছি, যিনি আমাকে গাড়ি থেকে নিজেই বের করে আনলেন। সত্যিই তার প্রতি কৃতজ্ঞ! কিন্তু - ঢাকায় সব জায়গায় ই ওয়েটারদের কিছুটা শিখা দরকার।",positive
,দারুন জায়গা!,positive
,খারাপ না ... ন্ম্র এবং  ভাল।,positive
,"ভাল খাবার, চমৎকার সার্ভিস। এরকম খাদ্য এবং সার্ভিস চালিয়ে যান!",positive
,খাবারটি খুব ভালো ছিল ... কিন্তু আমি আমার ডিনারটা আরো উপভোগ করতাম যদি বসার জায়গাটা আরো প্রশস্ত হত ।,positive
,খুব ভাল খাবার .....,positive
,অসাধারণ খাবার ... কিছু লোক দাম সম্পর্কে অভিযোগ করছিল কিন্তু আমার জন্য এটা কম দামই ছিল ... মহান কাজটি চালিয়ে যান !!,positive
,"আমি প্রতিদিন সেখানে যাই! যথেষ্ট বললাম,lol !",positive
,"তাদের রেস্টুরেন্টের সূচনা থেকে এখানে আসছি। খাওয়ার জন্য এটাই এখন আমার  অন্যতম প্রিয় জায়গা । কর্মীদের ব্যবহার সুন্দর। যদিও মেনুতে অনেক কিছু আছে তবে তাদের পিজাটা জোস । 
",positive
,"জায়গাটা বেশি জোস, সবসময় যদি এমন খাবার সার্ভ করে ইনশাআল্লাহ সফলতা আসবে......",positive
,খাবারগুলো এত ইয়াম্মিইইইই...ইচ্ছে করে প্রতিদিন খাই......,positive
,চমৎকার ইন্টেরিওর এবং খাবার। আমরা খুশি। ,positive
,খাবার এবং স্বাদ দুইটাই ভাল এবং লেবুটা অবশ্যই ট্রাই করতে হবে।,positive
,খাবারটি ভাল ছিল কিন্তু সার্ভিস খুবই ধীরগতির ... কর্তৃপক্ষের জন্য বড় হাততালি  যারা ব্যক্তিগতভাবে চার্জ গ্রহণ করে এবং নিশ্চিত করে যাতে আমরা দ্রুত আমাদের খাবার পাই।,positive
,জামাইকান গ্রিল চিকেনটা স্বর্গীয়। যা  একটা ভালবাসা। সর্বদা BBQ এর জন্যই যাই।  এটি একটি দামী হলেও  চমত্কার।,positive
,"পুরো এলাকাটাই সুন্দরভাবে সাজানো, রাতের দৃশ্যটা তাই রঙিন। সামনের দিকটা তাই দেখতে অনেক সুন্দর।",positive
,"আউটডোর খুবই গরম ছিল, যথেষ্ট পাখা ছিল না, এটি রেস্টুরেন্টের খারাপ দিক ছিল, কিন্তু এছাড়া সব ভালো ছিল, খাওয়ার জন্য ভালো জায়গা। আমি নিয়মিত যাওয়ার চেষ্টা করব।",positive
,টাইম স্পেন্ড করার জন্য চমৎকার জায়গা।,positive
,ডেকোরেশনটা অসাধারণ .... আমি আশা করি খাবারের স্বাদ সামনে আরো বাড়বে .... মসলার এর জন্য শুভকামনা ... আমি শুধু এই জায়গাটির ডেকোরেশনটা অসম্ভব পছন্দ করেছি।,positive
,অসাধারণ জায়গা।,positive
,কিছু খাবার সুস্বাদু ছিল। কিছু খাবার এভারেজ মানের ছিল। পরিমাণ ভাল ছিল। পরিবেশও ভাল ছিল।,positive
,সুন্দর......,positive
,আসল মসলার মজা অনুভব করা যায় ......জোস  ........,positive
,"বাইকারদের জন্য ঠাণ্ডা ও শান্ত জায়গা, খাবারও ভালো ছিল......।",positive
,ফ্রেন্ডস এবং পরিবারের সাথে গিয়ে চিল করার জন্য একটি ভাল জায়গা ... সেরা জিনিস হল তাদের হট কফিটা যার স্বাদ খুব ভাল ... সবার সেখানে যাওয়া দরকার এবং তাদের বিভিন্ন আইটেমগুলি ট্রাই করা দরকার।  ... ... চালিয়ে যান।,positive
,সাশ্রয়ী মূল্যের এবং খাবারের স্বাদও খুব ভাল।,positive
,"ভালো লাগল ছোট স্পেসে হোমমেড পেস্ট্রি, কেকস ইতাদি। কোল্ড লফিটা অন্যরকম ছিল......",positive
,"সুস্বাদু খাবার ,পরিমাণও যথেষ্ট এবং মানও ভাল । যদি অল্প সময়ের মধ্যে তারা আইটেম সরবরাহ না করে তবে কোন টিপস গ্রহণযোগ্য নয়...",positive
,গতকাল আমি আমার বন্ধুদের সাথে সেখানে গিয়েছিলাম .. এটা অসাধারণ ছিল...তাদের ডোসাটা ওয়াও ছিল এবং এটা খুব সস্তা ছিল। যে কউই খাবারটা খেতে পারবে। তাদের কে টিপস দেওয়ার অনেক চেষ্টা করেছি কিন্তু তারা এটি অস্বীকার করে।এটা খুব আশ্চর্জনক ব্যাপার ছিল ..কারন আমরা যেখানেই যাই তারা সবসময় আমাদের কাছ থেকে টিপসের জন্য পাশে বসে থাকে।  কিন্তু তারা অন্যদের মতো না।আমি সেখানে তাদের আচরণের সাথে সন্তুষ্ট। ইনশাআল্লাহ এখানে আবার আসব ..,positive
,"ভাল,খারাপ না ! কিন্তু ভারতীয় ডোসার মত নয়। ভারতীয় ডোসা অনেক বেশি সুস্বাদু। কিন্তু বাংলাদেশে এটাই সেরা!",positive
,"চমৎকার কোয়ালিটির খাবার। সস্তা দামে এটি হ্যাংআউট এর জন্য একটি দুর্দান্ত জায়গা, সার্ভিসটা যথেষ্ট ভাল ছিল না। সামগ্রিকভাবে ভালোবাসা। ভালো লাগে ডোসা লাজাওয়াব ....",positive
,"খাবারের মান যথেষ্ট ভাল। ছোট থাকা সত্ত্বেও, জায়গাটি ভালভাবে ডেকোরেটেড এবং দামও যুক্তিসঙ্গত।",positive
,ভাল,positive
,এটা একটা অসাধারণ জায়গা। খাবারের স্বাদ এবং মান খুব ভাল। সার্ভিস অনেক দ্রুত ছিল। ,positive
,অনেক বছর পর আসল ডোসার স্বাদ পেলাম! অবশ্যই আবার সেখানে যেতে হবে!,positive
,খাদ্য এবং তাদের সেবা ভাল। খাবারের মান আরও ভাল হতে পারত।,positive
,শহরের সেরা মুরগি ... আপনি যদি মুরগীর মাংস ভালবাসেন তবে খেয়ে দেখতে পারেন।,positive
,"বন্ধুদের সাথে ঘুরার জন্য মহান জায়গা । সাথে আছে  জিভে জল এনে দেওয়ার মত খাবার, বিশেষ করে পিজাটা।",positive
,এরাবিয়ান মাস্টারের খাবার ভাল এবং মজা । আপনার যাওয়া উচিত্. সেখানে তাদের মজার মজার খাবার উপভোগ করার জন্য। এমনকি  তাদের খাবারের দামও যুক্তিসংগত ....,positive
,"স্বাদ ভাল, পরিবেশন ও দ্রুত। ডেকোরেশনটা আরও একটু আপগ্রেড করা উচিত।",positive
,আমার তাদের খাবার পছন্দ হয়েছে কিন্তু তাদের সার্ভিস ভাল না ,positive
,চমত্কার লাঞ্চ,positive
,বন্ধুত্বপূর্ণ স্টাফ ভাল খাদ্য ও সুপরিচিত পরিবেশ,positive
,আচ্ছা খাবার ভাল ছিল অভ্যন্তরীণ নকশা সুন্দর পরিবেশ অনেক শান্ত ছিল আবহসংগীত খুব ভাল ছিল আমি এটাকে দেব,positive
,আমার মত ভোজন রসিকদের জন্য আরব মাস্টার একটা চমৎকার জায়গা পরিবেশ ও খাদ্যের মান খুব ভাল বিশেষভাবে তাদের কর্মীদের ব্যবহার এত সুন্দর ভাল পরিবেশ খাদ্য ও এসব আরব মাস্টার সঙ্গে উপযুক্ত মূল্য এককথায় সন্ত্রস্ত,positive
,মহান এবং খুব স্বাগত বায়ুমণ্ডল পিজা সর্বশ্রেষ্ঠ সেরা ছিল,positive
,ওয়েল ফুডের খাবার মজার ছিল এবং আচরণ ও ভাল ছিল,positive
,একানকার খাবারে মান উন্নত ভালো টেস্টি ও মজাদার অরে সার্ভিস বেটার আমাদের সবাইকে মুগ্ধ করে দিলো,positive
,তারা সুস্বাদু এবং ভাল মানের খাদ্য পরিবেশিত,positive
,এটা সত্যিই একটি ভাল জায়গা তুলনাহীন তাদের আচরণ এছাড়াও আতিথেয়তা হয় খাদ্য খাদ্য সত্যিই মজা এবং যুক্তিসঙ্গত জায়গা দম্পতিরা বন্ধু এবং পরিবারের জন্য সবচেয়ে ভাল হয় বলে তাদের অভ্যন্তর নকশা এত সুন্দর সবকিছু খুঁজছেন হয়,positive
,এটা খুব ভালো সত্যিই সুস্বাদু পরিবেশ ভাল যথেষ্ট হয় আমরা থেকে লালবাগ কেল্লা এর দৃশ্য দেখতে সব কর্মীদের ভালো এবং দাম যুক্তিসঙ্গত হয় পারেন,positive
,সবচেয়ে আরামদায়ক জায়গা চিরদিনের জন্য সাধরণ বিশেষভাবে তাদের তাই হয়,positive
,তাই সুন্দর জায়গা একটি মহান সময় প্রিয়জনের তাই মুখরোচক পিজা এবং পাস্তা এটা পছন্দ তাই আমি পিজা মূল্য তাই যুক্তিযুক্ত ছিল,positive
,খাদ্য ছিল বার্গার খুব ভাল আরব মাস্টার পুরাতন টাউন ইনশাল্লাহ সব দোকান মাস্টার হতে হবে,positive
,সেখানে ঘন ঘন যান প্রায় নিয়মিত গ্রাহক মত খাদ্য মান ভাল এবং পরিবেশ এছাড়াও ভাল তাদের পিজা এবং সেট মেনু পরীক্ষিত সম্পূর্ণভাবে বিশ্বস্ত,positive
,পরিবেশ লালবাগ অন্য কোন রেস্টুরেন্টে বেশী ভালো সেবা শুভ নয় তারা সীমাহীন পরিবর্তন সময় দেব আপনি চেষ্টা করতে পারেন,positive
,সুন্দর এবং বান্ধব পরিবেশ গুড খাদ্য সেট মেন্যু আমার মতে শ্রেষ্ঠ এটা বজায় রাখা,positive
,প্রথমবার অপ্রত্যাশিতভাবে সেখানে আজ গিয়েছিলাম কিন্তু খাদ্য যাতে ছিল আমি যে প্রত্যাশিত করা হয়নি এবং তাদের সেবা দ্রুত চেয়ে অন্যদের আমি এটা পছন্দ করেছে ÔøΩ করার উপায় ছিল,positive
,তাদের খাদ্য মানের এবং সেবা খুবই ভালো আমি শুধু তাদের খাদ্য বিশেষভাবে তাদের ক্রিম পাস্তা ভালবাসেন,positive
,পিজা এটা পছন্দ চমৎকার আমি এছাড়াও এটা পছন্দ আমার বন্ধুরা,positive
,আজ আমি আমার বন্ধু জন্মদিন সেখানে উদযাপন করতে যাচ্ছি সম্পূর্ণভাবে খাদ্য তাই বলছি অনুগ্রহ সেখানে যাচ্ছি এবং আপনার দিন উপভোগ সত্যিই ভালো,positive
,পরিবার এর জন্য সবচেয়ে ভাল জায়গা আর খাবারের মানের পরিমাণ সবকিছু আরব মাস্টার জন্য ধন্যবাদ,positive
,যুক্তিসংগত মূল্য এছাড়াও ছাড় বিভিন্ন অফার সঙ্গে সঙ্গে তাই মুখরোচক পিজা আমার এটি পছন্দ,positive
,মহান খাদ্য বিশেষভাবে বাংলাদেশের চিকেন সবাই দেখুন এবং স্বাদ করা উচিত নয়,positive
,পিজা ভালবাসার অর্থ হল আমি অনেক বার দেখেছেন সেখানে পরিবেশ ভালো হয়,positive
,কেবলমাত্র পিজা ছিল নিশ্চিত আবার এটা খেয়ে ওয়ানা,positive
,দারুন জায়গা আছে আচরণ খুব ভাল রাখুন,positive
,এ চমৎকার জায়গা সেবা ছিল ভাল,positive
,গ্রেট খাদ্য বিশেষভাবে বাংলাদেশের এ চিকেন সবাই যান এবং স্বাদ করা উচিত নয়,positive
,অ্যামেজিং খাদ্য ও মহান আতিথেয়তা অঙ্কিত,positive
,অসাধারণ,positive
,খাদ্য ভাল সেবা আরব এর মালিক চেয়ে,positive
,খাদ্যে শুধু সন্ত্রস্ত তোমার দর্শন লগ করা তারপর এটা চেষ্টা না থাকে তাহলে আপনি এটা মিস করত,positive
,আমার ম হোম ডেলিভারী এফ আর এম জন্য এনওয়াইসি এন ফাস্ট এন ডি পিজা ছিল,positive
,ফ্যান্টাস্টিক খাবার,positive
,ভালো,positive
,কিসু বলার নাই খবর টেস্ট অনেক ভালো লোভে ইট,positive
,এটা তোলে খাদ্য মান খুব ভাল এবং তাই সুস্বাদু,positive
,সব বলছে আরব মাস্টার বারী ঘর হয় এম সেবা খাদ্য পছন্দ এন সকল কর্মীদের দ ছোট ভাই গান অত্যধিক কাছাকাছি ভাই এন মালিক দ খোলা যেমন একটি আশ্চর্যজনক পাশ ভাই,positive
,অত্যন্ত চমৎকার আমি এটা ভালবাসা,positive
,মুখরোচক খাদ্য পরিষেবা আমাকে সন্তুষ্ট আমি এটা ভালবাসি,positive
,লালবাগ ভালবাসা দা খাবার চমৎকার জায়গা,positive
,গ্রেট খাদ্য আরামদায়ক বায়ুমণ্ডল স্বাস্থ্যকর খাবার বন্ধু ও পরিবারের লোকজন জমায়েত জন্য মহান,positive
,ভালো খাবার চমৎকার বন্ধুত্বপূর্ণ কর্মী বাতাবরণ,positive
,আপনাকে বলছি থেকে ভালো সহকর্মীদের সাথে সেখানে গিয়েছিলাম খাদ্য ছিল মহান এবং আপনি লোকেদের থেকে আতিথেয়তা ছিল বিস্ময়কর মোঃ শেখ সাদী এবং আপনার আতিথেয়তা এবং সবার জন্য জনাব নাসপাতি কাছে একটি বড় চিত্কার আশা করি শীঘ্রই আবার আপনাকে বলছি দেখার জন্য মহান কাজ আপ রাখুন,positive
,গুড আবহ ও প্রেম তাদের খাদ্য,positive
,অসাধারণ খাদ্য মান,positive
,ভাল খাবার জনাব নাসপাতি আহমেদ সহকারী রেঁস্তোরা ম্যানেজার দ্বারা চমৎকার ব্যক্তিগতকৃত সেবা মহান খাদ্য ও সেবা আপ রাখুন,positive
,জ্যামাইকান ভাজাভুজি মুরগির এক স্বর্গীয় নয় ভালবাসা যে এক সর্বদা যে জন্য ফিরে যান আমি এটি একটি বিট হতে খুঁজে কিন্তু এটা মূল্য আছে,positive
,নিস আন্দোলন প্রথম সর্বশেষ ভালবাসা,positive
,চমৎকার ছিল আমরা আমাদের বন্ধুদের একসঙ্গে পার্টি এখানে ছিল খাদ্য অংশ ছিল যথেষ্ট সেবা খুব বন্ধুত্বপূর্ণ,positive
,শহরে সেরা মুরগির যদি আপনি সরস মুরগির ভালবাসেন চেষ্টা করতে হবে,positive
,ফ্যান্টাস্টিক খাদ্য কোরিয়ান থালা চেষ্টা করতে হবে তাদের জন্য শুভ কামনা,positive
,চলমান কিনতে এক বিনামূল্যে একটি খুব ভাল প্রস্তাব পেতে এই স্থানটি আরো কিছু ভাল জিনিস সহ মান কোরিয়ান শৈলী মুরগির পর্যন্ত আইটেম স্থল অত্যন্ত মুরগির প্রেমীদের জন্য সুপারিশ,positive
,এই জায়গা চমৎকার পরিবেশ ভালবাসা এবং আমার পছন্দের কিছু পেয়েছিলাম তাই এই আমার সবচেয়ে প্রস্তাবিত রেস্টুরেন্টে হচ্ছে,positive
,পর্যালোচনা পরিষেবা ওয়েটার সুমিত খাদ্য চমৎকার অভিজ্ঞতা গুলশান,positive
,মহৎ সেবা দারুন খাবার,positive
,ফুড কোয়ালিটি আগের থেকে অনেক বাজে সার্ভিস ঠিক আছে ই থিঙ্ক ফুড কোয়ালিটি নেক্সট টাইম ভালো হবে ৱক গুলশান,positive
,ভাল খাবার মহান সেবা এখানে বছর সেরা জিনিসের জন্য আসছে যে তারা তাদের খাদ্য গুণমান ও সেবা সামঞ্জস্যপূর্ণ হয়,positive
,তারা শহরে সেরা মুরগির সেবা করে পরিষেবা এবং খাবার শুভ,positive
,অ্যামেজিং বাতাবরণ ধূমপান জোন পছন্দ খাদ্য এছাড়াও আশ্চর্যজনক যথাসময়ে উপাসনা করতেন,positive
,সর্বোত্তম সেবা,positive
,কোয়ালিটির খাদ্য  সন্ত্রস্ত  পরিবেশ সর্বোত্তম পরিষেবা,positive
,আমি এটা ভালবাসি,positive
,চমৎকার,positive
,জট্টিল ডি,positive
,চিত্তাকর্ষক সেবা ও খাদ্য মান মানের সঙ্গে ক্রমবর্ধমান রাখুন,positive
,চিকেন কাণ্ডকীর্তি মহান তাই সুস্বাদু তাদের মুরগির আইটেম ভালবাসেন,positive
,চমৎকার খাদ্য খুব ভাল গ্রাহক সেবা,positive
,খাদ্য পছন্দ,positive
,আমি কয়েক বার সেখানে ছিল তার আমার স্বাদ কুঁড়ি হতে পারে কোন পথে আমি সত্যিই জ্যামাইকান গ্রিল শাকসব্জী ভাজা চাউল সবুজ আপেল জুস আস্বাদিত চমৎকার খাদ্য আপ খুব বন্ধুত্বপূর্ণ সেবা দিয়ে আসে দুই অঙ্গুষ্ঠ,positive
,খাদ্য বাংলাদেশে শ্রেষ্ঠ মান খুব পালিশ করা হয় পরিষেবা চমৎকার,positive
,জায়গা এবং  বায়ুমণ্ডল ভালো  আমি ব্যক্তিগতভাবে এটা পছন্দ করেছে,positive
,অ্যামেজিং খাদ্য ফ্যান্টাস্টিক অভ্যন্তর ওয়েল আপ ভদ্র ওয়েটার অঙ্গুষ্ঠ,positive
,আমি সেখানে ছিলাম আরো কয়েকবার সবসময় সেখানে সেবা সন্তুষ্ট শিশু খেলা সামান্য শিশু জন্য খুবই সমর্থন জুগিয়ে থাকে জন্য একটি ছোট জায়গা আছে,positive
,ওয়েল কিছু ছিল যে,positive
,আসলে আমি সাধারণত পর্যালোচনা লিখতে না কারন আমি একটি গুরুতর সমালোচক আছি এবং সমালোচনা আমার স্তরের খুব বেশী উপায় নয় কিন্তু সত্যি বলতে আমি সবকিছু বাদ দিয়েও আপনার রেস্টুরেন্ট পছন্দ করি তোমার কোরিয়ান জ্যামাইকান আশ্চর্যজনক যেখানেই আমি যাই অফিস বন্ধু ঘর না আমি শারীরিকভাবে রেস্টুরেন্টে যেতে বা না আমি বা আমার চালক মাধ্যমে এই খাবার অর্ডার ব্যাপার আমি উত্তরায় রক্ষিত এবং আমি একদিন আশা করি তারা এখানে শাখা খুলবে খাদ্য মানের,positive
,তার আমার প্রিয় শ্রেষ্ঠ কিছুই তাদের ভর্তা বীট করতে পারেন,positive
,সুস্বাদু খাদ্য এবং আশ্চর্যজনক আইটেম প্রদান আসলেই ভাল,positive
,জ্যামাইকান চিকেন আমি সেখানে সময় এবং সময় পরিদর্শন করবে,positive
